TIMEID,initialization_method,initial_temp,final_temp,alpha,num_steps,accepted_steps,initial_energy,final_energyrandom
20250717-202135,random,2,0.5,0.999,10000,9469,-6,-16
20250717-203203,seed,2,0.5,0.999,10000,9467,-16,-22
20250717-203253,seed,2,0.5,0.999,10000,9346,-22,-24
20250717-203400,seed,2,0.5,0.999,10000,9346,-24,-25
20250717-203510,seed,2,0.5,0.999,10000,9226,-25,-27
20250717-203634,seed,2,0.5,0.999,10000,9431,-27,-18
20250717-203815,seed,2,0.5,0.999,10000,9385,-27,-24
20250717-203850,seed,2,0.5,0.999,10000,9251,-27,-26
20250717-211118,random,2,0.5,0.999,10000,9586,-4,-15
20250717-211235,seed,2,0.5,0.999,10000,9447,-15,-16
20250717-211342,seed,2,0.5,0.999,10000,9421,-16,-21
20250717-211444,seed,2,0.5,0.999,10000,9418,-21,-19
20250717-211526,seed,2,0.5,0.999,10000,9424,-21,-22
20250717-211618,seed,2,0.5,0.999,10000,9340,-22,-21
